# More survival facts (the 8.7M model and up). Same rules as data/facts_survival.tsv:
# short, direct answers following the source named in each section; the cautious answer wins.
# ---- first aid (American Heart Association, Red Cross, NHS, CDC, ADA)
how long does canned food last|canned food shelf life|how long is canned food good	High-acid 12-18 months, low-acid 2-5 years.
is it safe to eat from a dented can|dented can|bulging can	Not if it bulges, leaks or is deeply dented.
how long does stored water last|how often should i replace stored water|emergency water shelf life	Replace home-bottled water every 6 months.
how much food should i bring hiking|food per day hiking|how much food for backpacking	About 1.5 to 2.5 pounds per day.
how much water should i carry hiking|water per hour hiking|how much water to bring on a hike	About half a liter per hour; more in heat.
can i drink tap water after a flood|is tap water safe after a flood|water after a hurricane	Not until officials say it's safe.
# ---- shelter, cold and gear (FM 21-76, NWS)
how do i stay warm in a sleeping bag|warm sleeping bag|cold in my sleeping bag	Dry clothes, a pad under you, eat before bed.
how do i warm up cold hands|cold hands|how to warm frozen fingers	Tuck them in your armpits.
should i sleep in wet clothes|sleeping in wet clothes|wet clothes at night	No. Change into dry clothes first.
what is fatwood|fatwood	Resin-soaked pine that lights even when wet.
what is char cloth|char cloth	Charred cotton that catches a spark easily.
how do i keep matches dry|waterproof matches|how to waterproof matches	Waterproof case, or dip the heads in wax.
how do i prevent blisters|prevent blisters hiking|how to avoid blisters	Dry socks, well-fitted boots; tape hot spots.
how do i hang a bear bag|bear bag|hanging food from bears	10 ft up and 4 ft out from the trunk.
what slopes cause avalanches|avalanche slope angle|what angle do avalanches happen	Mostly slopes of 30 to 45 degrees.
at what wind chill do you get frostbite|frostbite wind chill|how fast does frostbite happen	About -18 F (-28 C): in 30 minutes.
what is wind chill|wind chill	How cold the air feels on skin with wind.
# ---- weather and disasters (NWS, NHC, Ready.gov, DHS)
what is a tornado watch vs warning|tornado watch vs warning|difference between tornado watch and warning	Watch: possible. Warning: happening, take cover.
what is a hurricane watch vs warning|hurricane watch vs warning|difference between hurricane watch and warning	Watch: possible, 48 h. Warning: expected, 36 h.
how do i know a storm is coming|signs of a storm coming|how to tell if a storm is coming	Falling pressure, darkening clouds, wind shift.
what does a ring around the moon mean|halo around the moon|ring around the moon	Often rain or snow within a day or two.
what do i do in a nuclear attack|nuclear explosion|nuclear bomb what to do|nuclear blast	Get inside, stay inside, stay tuned.
how long should i shelter after a nuclear blast|how long to stay inside after a nuclear bomb|nuclear fallout how long	At least 24 hours, unless told otherwise.
what do i do in a chemical spill|chemical leak|hazmat spill|toxic gas outside	Go upwind, uphill; shelter inside if told.
what do i do in a volcanic eruption|volcano eruption|volcano erupting|volcanic ash	Evacuate if told; avoid ash, wear an N95.
what do i do in a landslide|landslide|mudslide	Get out of its path; if trapped, cover head.
what do i do in a dust storm while driving|dust storm driving|haboob	Pull off, lights off, foot off the brake.
how do i survive a heat wave|heat wave|heat wave tips	Stay cool indoors, drink water, check on others.
what do i do if im trapped under rubble|trapped under rubble|trapped in a collapsed building	Cover your mouth, tap on pipes, shout last.
what do i do in an active shooter situation|active shooter|shooter what to do	Run, hide, fight.
how do i shut off the gas|gas shut off valve|how to turn off gas main	Quarter turn so the valve crosses the pipe.
how do i shut off the water main|water shut off|turn off water main	Turn the main valve clockwise.
